sub	run	HighLarge	HighSmall	LowLarge	LowSmall	OfficeLarge	OfficeSmall
090	4.0	3.0	9.0	7.0	4.0	4.0	6.0
090	5.0	3.0	9.0	8.0	9.0	9.0	9.0
104	1.0	9.0	8.0	9.0	9.0	9.0	9.0
104	2.0	9.0	9.0	8.0	9.0	9.0	9.0
104	3.0	9.0	9.0	9.0	7.0	9.0	9.0
104	4.0	9.0	8.0	9.0	7.0	8.0	9.0
104	5.0	9.0	9.0	8.0	7.0	9.0	9.0
080	1.0	9.0	9.0	9.0	9.0	9.0	9.0
080	2.0	9.0	9.0	9.0	9.0	9.0	9.0
080	3.0	9.0	9.0	9.0	9.0	9.0	9.0
080	4.0	9.0	9.0	9.0	9.0	9.0	9.0
080	5.0	9.0	9.0	9.0	9.0	9.0	9.0
043	1.0	9.0	7.0	6.0	8.0	9.0	7.0
043	2.0	8.0	8.0	9.0	5.0	6.0	9.0
043	3.0	8.0	5.0	9.0	9.0	6.0	7.0
043	4.0	4.0	9.0	8.0	9.0	1.0	9.0
043	5.0	7.0	8.0	6.0	9.0	8.0	6.0
041	1.0	9.0	9.0	9.0	6.0	9.0	8.0
041	2.0	5.0	8.0	2.0	9.0	9.0	6.0
041	3.0	9.0	8.0	8.0	9.0	8.0	5.0
041	4.0	9.0	9.0	8.0	9.0	9.0	9.0
041	5.0	5.0	9.0	9.0	1.0	2.0	9.0
101	1.0	9.0	9.0	9.0	9.0	9.0	7.0
101	2.0	7.0	9.0	8.0	3.0	9.0	8.0
101	3.0	6.0	9.0	7.0	6.0	8.0	9.0
101	4.0	7.0	7.0	6.0	8.0	5.0	5.0
101	5.0	7.0	8.0	9.0	9.0	9.0	8.0
023	1.0	9.0	9.0	9.0	9.0	9.0	9.0
023	2.0	9.0	9.0	9.0	7.0	9.0	9.0
023	3.0	9.0	9.0	9.0	9.0	5.0	9.0
023	4.0	9.0	9.0	9.0	9.0	9.0	9.0
023	5.0	9.0	9.0	9.0	9.0	9.0	9.0
112	1.0	7.0	8.0	7.0	7.0	8.0	9.0
112	2.0	5.0	3.0	2.0	4.0	3.0	6.0
112	3.0	2.0	1.0	1.0	4.0	0.0	4.0
114	1.0	6.0	5.0	5.0	7.0	6.0	8.0
114	2.0	4.0	7.0	5.0	6.0	3.0	8.0
114	3.0	6.0	6.0	6.0	5.0	3.0	4.0
114	4.0	9.0	8.0	9.0	9.0	9.0	9.0
114	5.0	5.0	9.0	7.0	9.0	9.0	8.0
038	1.0	8.0	3.0	9.0	5.0	7.0	8.0
038	2.0	7.0	6.0	6.0	9.0	9.0	6.0
038	3.0	5.0	8.0	3.0	9.0	7.0	9.0
038	4.0	9.0	9.0	9.0	9.0	9.0	9.0
038	5.0	9.0	9.0	9.0	9.0	8.0	9.0
030	1.0	9.0	9.0	9.0	9.0	9.0	9.0
030	2.0	9.0	9.0	9.0	6.0	9.0	9.0
030	3.0	9.0	9.0	9.0	9.0	9.0	7.0
030	4.0	9.0	8.0	8.0	9.0	8.0	9.0
030	5.0	8.0	9.0	9.0	9.0	9.0	9.0
070	1.0	9.0	9.0	9.0	9.0	9.0	9.0
070	2.0	9.0	9.0	9.0	9.0	9.0	9.0
070	3.0	9.0	9.0	9.0	9.0	9.0	9.0
070	4.0	9.0	9.0	9.0	9.0	9.0	9.0
070	5.0	9.0	5.0	5.0	6.0	9.0	6.0
120	1.0	9.0	9.0	5.0	8.0	7.0	9.0
120	2.0	9.0	7.0	7.0	9.0	8.0	9.0
120	3.0	6.0	9.0	7.0	5.0	9.0	9.0
120	4.0	8.0	9.0	7.0	7.0	9.0	6.0
120	5.0	8.0	9.0	8.0	9.0	7.0	9.0
049	1.0	9.0	9.0	9.0	9.0	7.0	9.0
049	2.0	8.0	9.0	9.0	7.0	9.0	9.0
