sub	run	n_vol	n_censor	p_censor	n_vol_interest	n_censor_interest	p_censor_interest
128	3.0	78.0	1.0	1.3	54.0	0.0	0.0
128	4.0	78.0	1.0	1.3	54.0	1.0	1.9
128	5.0	78.0	15.0	19.2	54.0	11.0	20.4
115	1.0	78.0	7.0	9.0	54.0	2.0	3.7
115	2.0	78.0	15.0	19.2	54.0	11.0	20.4
115	3.0	78.0	21.0	26.9	54.0	19.0	35.2
115	4.0	78.0	23.0	29.5	54.0	18.0	33.3
115	5.0	78.0	16.0	20.5	54.0	13.0	24.1
131	1.0	78.0	0.0	0.0	54.0	0.0	0.0
131	2.0	78.0	0.0	0.0	54.0	0.0	0.0
131	3.0	78.0	0.0	0.0	54.0	0.0	0.0
131	4.0	78.0	7.0	9.0	54.0	6.0	11.1
131	5.0	78.0	0.0	0.0	54.0	0.0	0.0
126	1.0	78.0	0.0	0.0	54.0	0.0	0.0
126	2.0	78.0	0.0	0.0	54.0	0.0	0.0
126	3.0	78.0	3.0	3.8	54.0	1.0	1.9
126	4.0	78.0	10.0	12.8	54.0	5.0	9.3
126	5.0	78.0	6.0	7.7	54.0	2.0	3.7
045	1.0	78.0	1.0	1.3	54.0	0.0	0.0
045	2.0	78.0	1.0	1.3	54.0	0.0	0.0
045	3.0	78.0	3.0	3.8	54.0	1.0	1.9
045	4.0	78.0	4.0	5.1	54.0	1.0	1.9
045	5.0	78.0	1.0	1.3	54.0	1.0	1.9
110	1.0	78.0	0.0	0.0	54.0	0.0	0.0
110	2.0	78.0	8.0	10.3	54.0	4.0	7.4
110	3.0	78.0	16.0	20.5	54.0	10.0	18.5
110	4.0	78.0	29.0	37.2	54.0	20.0	37.0
110	5.0	78.0	26.0	33.3	54.0	17.0	31.5
018	1.0	78.0	4.0	5.1	54.0	3.0	5.6
018	2.0	78.0	13.0	16.7	54.0	7.0	13.0
018	3.0	78.0	37.0	47.4	54.0	23.0	42.6
018	4.0	78.0	31.0	39.7	54.0	24.0	44.4
018	5.0	78.0	19.0	24.4	54.0	15.0	27.8
005	1.0	78.0	0.0	0.0	54.0	0.0	0.0
005	2.0	78.0	2.0	2.6	54.0	1.0	1.9
005	3.0	78.0	0.0	0.0	54.0	0.0	0.0
005	4.0	78.0	1.0	1.3	54.0	1.0	1.9
005	5.0	78.0	12.0	15.4	54.0	10.0	18.5
026	1.0	78.0	0.0	0.0	54.0	0.0	0.0
026	2.0	78.0	0.0	0.0	54.0	0.0	0.0
026	3.0	78.0	0.0	0.0	54.0	0.0	0.0
026	4.0	78.0	0.0	0.0	54.0	0.0	0.0
026	5.0	78.0	2.0	2.6	54.0	2.0	3.7
019	1.0	78.0	9.0	11.5	54.0	7.0	13.0
019	2.0	78.0	17.0	21.8	54.0	16.0	29.6
019	3.0	78.0	28.0	35.9	54.0	20.0	37.0
019	4.0	78.0	22.0	28.2	54.0	16.0	29.6
019	5.0	78.0	41.0	52.6	54.0	30.0	55.6
069	1.0	78.0	0.0	0.0	54.0	0.0	0.0
069	2.0	78.0	0.0	0.0	54.0	0.0	0.0
069	3.0	78.0	5.0	6.4	54.0	1.0	1.9
069	4.0	78.0	6.0	7.7	54.0	5.0	9.3
069	5.0	78.0	4.0	5.1	54.0	3.0	5.6
